チームID	チーム名	アカウント	匿名化得点	有用性	サンプル匿名性
01	宮地研.exe	myjlabexe	164.5	77.5	87
02	私達日本語本当下手	zelret	165.61	80.61	85
03	ポップコーン	jbstkf	142.38	56.38	86
04	Hots	rq1543179	149.38	57.38	92
05	SHA-NES	shioriabe	159.79	77.79	82
06	神ぼ大νττ	masaya	156.45	69.45	87
07	たけのこ映画守り隊	takenoko	159.31	79.31	80
08	0xA	yanomichi	NA	NA	NA
09	ステテコ泥棒	autefu	13.46	86.46	9
10	動的計画法	pwscup2024	141.31	57.31	84
11	Gunmataro117	kabutookajima	149.61	61.61	88
12	HAL	grape1977	158.47	68.47	90
13	（出場取消）無量匿名処	harada	NA	NA	NA
14	privocy	shibata	0	57.7	11
15	ES5	pwscup2024kobe	145.14	58.14	87
16	佐古研究室	mgoto	147.47	58.47	89
17	こそっとアタック、しれっとブロック	okano	136.51	61.51	75
18	匿名アノニマス	hajime	164.71	89.71	75
19	RITCHEY	ritz2024	NA	NA	NA
20	KAT-TUNE	kattune	182.99	97.99	85
21	PR.AVATECT	takanori	147.98	61.98	86
22	春日防衛隊（かすかべ防衛隊）	crbfwd	142.09	58.09	84
